iter	Logloss
0	0.6697292296
1	0.6434296213
2	0.6107903101
3	0.5849972909
4	0.5607096079
5	0.5333311138
6	0.5068999728
7	0.4883060518
8	0.4647677253
9	0.4440393782
10	0.4285423473
11	0.4121606013
12	0.3971341203
13	0.3821492073
14	0.3682414506
15	0.3564054313
16	0.3450398354
17	0.3322517921
18	0.3205277757
19	0.3093318457
20	0.2970966808
21	0.2840918717
22	0.2750314335
23	0.2624205081
24	0.2546228156
25	0.2473689465
26	0.239291651
27	0.2331912966
28	0.2261011809
29	0.2176584458
30	0.2101706615
31	0.2050314108
32	0.2007316083
33	0.1961637608
34	0.1917392115
35	0.1881583978
36	0.1827943043
37	0.1786162809
38	0.1737122243
39	0.1699603574
40	0.1643473339
41	0.1610729391
42	0.1565013008
43	0.1523478358
44	0.1484405574
45	0.1442245498
46	0.1416112841
47	0.1384081366
48	0.1354416084
49	0.1324667939
50	0.1288953435
51	0.1261411513
52	0.1239369556
53	0.1211742296
54	0.1186529851
55	0.1169220037
56	0.1141513555
57	0.1122703743
58	0.1100827856
59	0.1082054609
60	0.1061050464
61	0.1045595639
62	0.1030400576
63	0.1008147825
64	0.09837646821
65	0.09689702897
66	0.0953814307
67	0.09343834124
68	0.09191382054
69	0.09039405571
70	0.08821550915
71	0.08651117968
72	0.0852043697
73	0.08333101198
74	0.08202768266
75	0.08070160199
76	0.07935373524
77	0.07795923644
78	0.07667244258
79	0.07551939277
80	0.07437396652
81	0.0734453465
82	0.07243702842
83	0.0712867281
84	0.07010873284
85	0.06879834876
86	0.06805709921
87	0.06718249451
88	0.06595411336
89	0.06469412647
90	0.06371760783
91	0.06276433721
92	0.0619202688
93	0.06103137077
94	0.05971780682
95	0.05876938558
96	0.05790393498
97	0.05723234088
98	0.05659840476
99	0.05588731646
100	0.05513935546
101	0.05432626547
102	0.05343339184
103	0.05268001757
104	0.05204196705
105	0.05112935554
106	0.05041737832
107	0.04967394481
108	0.04899198095
109	0.04828941874
110	0.04747032494
